trial_type,workspace,trial_name,agent_name,model,milestone_id,milestone_order,grading_status
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M003.1,1,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M004,2,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M006,3,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M011,4,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M016.1,5,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M017,6,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M018,7,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M019,8,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M001.1,9,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M003.2,10,non_graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M003.3,11,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M025,12,graded
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M001.2,13,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M003.1,1,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M004,2,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M006,3,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M003.2,4,non_graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M011,5,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M016.1,6,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M017,7,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M019,8,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M003.3,9,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M018,10,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M025,11,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M001.1,12,graded
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,M001.2,13,graded
e2e,dubbo,_claude-code_glm-5.1_refine_run_002,claude-code,glm-5.1,M003.1,1,graded
e2e,dubbo,_claude-code_glm-5.1_refine_run_002,claude-code,glm-5.1,M004,2,graded
e2e,dubbo,_claude-code_glm-5.1_refine_run_002,claude-code,glm-5.1,M006,3,graded
e2e,dubbo,_claude-code_glm-5.1_refine_run_002,claude-code,glm-5.1,M001.1,4,graded
e2e,dubbo,_claude-code_glm-5.1_refine_run_002,claude-code,glm-5.1,M003.2,5,non_graded
