trial_type,workspace,trial_name,agent_name,model,milestone_id,milestone_order,m_duration_ms,m_wall_clock_ms,m_turns,m_cost_usd,m_total_tool_calls,m_subagent_turns,m_input_tokens,m_output_tokens,m_cache_read_tokens,m_tool_read,m_tool_edit,m_tool_write,m_tool_shell,m_tool_search,m_tool_plan,m_tool_subagent,m_tool_other,m_verify_test,m_verify_build,m_verify_lint,m_behavior_exploration,m_behavior_exploitation,m_behavior_meta,eval_status,error_type,f2p_required,f2p_achieved,n2p_required,n2p_achieved,p2p_required,p2p_achieved,p2p_failed,p2p_missing,score_1000,score_full,score_precision,score_recall,score_reliable,is_resolved
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M003.1,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passed,,0,0,1,1,6943,6943,0,0,1.0,1.0,1.0,1.0,1.0,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M004,2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,0,0,1,0,6896,4861,0,2035,0.0,0.0,0.0004911591355599214,0.0,0.0,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M006,3,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,2,2,0,0,6908,6745,0,163,0.837,0.9764041690793284,0.018072289156626505,1.0,0.03550295857988166,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M011,4,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,0,0,5,5,6917,6754,0,163,0.837,0.9764348706086453,0.03550295857988166,1.0,0.06857142857142857,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M016.1,5,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,0,0,6,0,6911,6746,2,163,0.0,0.0,0.006024096385542169,0.0,0.0,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M017,6,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,1,0,0,0,6910,6746,1,163,0.0,0.0,0.006060606060606061,0.0,0.0,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M018,7,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,0,0,6,0,6880,6715,2,163,0.0,0.0,0.006024096385542169,0.0,0.0,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M019,8,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,0,0,6,0,6897,6732,2,163,0.0,0.0,0.006024096385542169,0.0,0.0,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M001.1,9,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,0,0,4,4,6899,6731,2,166,0.832,0.9756486447311205,0.028901734104046242,1.0,0.056179775280898875,
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,M003.3,10,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failed,,18,0,1,0,6928,6721,2,205,0.0,0.0,0.004807692307692308,0.0,0.0,
