trial_type,workspace,trial_name,agent_name,model,total_milestones,total_turns,total_cost_usd,total_duration_ms,total_wall_clock_ms,total_tool_calls,total_subagent_calls,unique_session_count,total_input_tokens,total_output_tokens,total_cache_read_tokens,resolved,resolve_rate,failed,error,not_run,tool_read,tool_edit,tool_write,tool_shell,tool_search,tool_plan,tool_subagent,tool_other,mean_score_full,mean_score_reliable,mean_score_precision,mean_score_recall,sum_score_full
e2e,dubbo,_claude-code_deepseek-v4-pro_run_002,claude-code,deepseek-v4-pro,12,676,0.09510059800000001,19375000,20223177,1231,381,1,4582394,19770,0,1,0.08333333333333333,11,0,0,0,0,0,0,0,0,0,0,0.4206369935329984,0.10003045354529076,0.09459802361525083,0.4285714285714286,5.047643922395981
e2e,dubbo,_claude-code_fable-5-with-leak_run_002,claude-code,claude-fable-5-with-leak,12,392,169.64001549999998,10876000,8865000,436,0,1,28942,313231,137413183,8,0.6666666666666666,4,0,0,24,0,6,295,0,0,1,29,0.7291394888148041,0.7207207207207208,0.7351938391208969,0.7291666666666666,8.749673865777648
e2e,dubbo,_claude-code_glm-5.1_refine_run_002,claude-code,glm-5.1,12,702,21.588262519999997,21784000,18469000,1017,272,1,2083551,188277,68626432,3,0.25,9,0,0,297,164,29,142,265,27,1,15,0.29970150625829833,0.26758804487358373,0.2880087398131708,0.3452380952380952,3.59641807509958
e2e,dubbo,_claude-code_glm-5.2-1m_run_002,claude-code,glm-5.2-1m,12,609,67.09955528,15521000,12167000,761,199,1,1097262,514556,243459008,3,0.25,9,0,0,222,124,20,299,0,0,8,44,0.7082306364693906,0.6316976384049555,0.7169060495387929,0.7083333333333334,8.498767637632687
e2e,dubbo,_claude-code_glm-5.2_run_002,claude-code,glm-5.2,12,1083,10.78119068,29683000,21138000,1924,241,1,1266001,567846,25039488,0,0.0,12,0,0,589,283,57,862,0,0,2,102,0.7241733063199548,0.5125832151287834,0.5427079675282108,0.724780701754386,8.690079675839458
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,12,1556,19.24184812,26369000,22350000,1672,0,1,704037,300122,65137152,7,0.5833333333333334,5,0,0,191,231,99,1062,0,0,0,43,0.799125904177394,0.7712439883492515,0.8583333333333334,0.7991854636591479,9.589510850128729
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,12,398,8.275111800000001,5361000,3801000,430,0,1,1255637,92139,33623150,6,0.5,6,0,0,123,63,43,81,89,15,0,0,0.5,0.5,0.6906791155819718,0.5,6.0
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,12,923,18.14491712,15333000,5952000,1327,150,1,2255440,336465,91602432,0,0.0,12,0,0,424,169,37,303,304,35,0,6,0.24980780520607646,0.15185185185185182,0.12666877053320816,0.25,2.9976936624729174
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,12,855,14.7659106,25821000,30963000,1058,0,1,624091,190868,33435392,7,0.5833333333333334,5,0,0,157,170,53,569,0,0,1,86,0.8284125932396954,0.6928837260213995,0.745287332607576,0.8289473684210527,9.940951118876345
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,12,731,54.605366700000005,5348940,5326462,869,111,1,165654,224791,74993980,1,0.08333333333333333,11,0,0,291,149,33,116,176,51,4,0,0.37083443509523595,0.2101749041787093,0.19580849685102156,0.4166666666666667,4.450013221142831
